optim,n_functions,time,n_relations,size_max
0,1,0.021500825881958008,10,10
1,1,0.02126336097717285,10,10
2,1,0.023236989974975586,10,10
3,1,0.019265413284301758,10,10
0,2,0.08333706855773926,10,10
1,2,0.07722854614257812,10,10
2,2,0.07689070701599121,10,10
3,2,0.07772064208984375,10,10
0,3,0.31400012969970703,10,10
1,3,0.29813265800476074,10,10
2,3,0.3072483539581299,10,10
3,3,0.3153250217437744,10,10
0,4,1.068114995956421,10,10
1,4,1.0509018898010254,10,10
2,4,1.1050989627838135,10,10
3,4,1.1191070079803467,10,10
0,5,2.1903793811798096,10,10
1,5,2.2066407203674316,10,10
2,5,2.718012571334839,10,10
3,5,2.06033992767334,10,10
0,6,3.4912476539611816,10,10
1,6,3.421635389328003,10,10
2,6,3.648252248764038,10,10
3,6,3.3237099647521973,10,10
0,7,5.513517379760742,10,10
1,7,5.218488693237305,10,10
2,7,5.517077207565308,10,10
3,7,5.319683313369751,10,10
0,8,7.72808575630188,10,10
1,8,7.626316785812378,10,10
2,8,8.140158414840698,10,10
3,8,7.182246923446655,10,10
0,9,10.395534753799438,10,10
1,9,10.270930290222168,10,10
2,9,11.209193229675293,10,10
3,9,9.606049299240112,10,10
0,10,11.175833225250244,10,10
1,10,11.104553937911987,10,10
2,10,14.699187994003296,10,10
3,10,10.587537288665771,10,10
0,11,14.169136047363281,10,10
1,11,14.299232721328735,10,10
2,11,14.533523797988892,10,10
3,11,13.708659172058105,10,10
0,12,15.922173023223877,10,10
1,12,14.334345579147339,10,10
2,12,14.457735300064087,10,10
3,12,17.556320667266846,10,10
0,13,15.97723388671875,10,10
1,13,15.683233261108398,10,10
2,13,16.627437829971313,10,10
3,13,20.092382669448853,10,10
0,14,19.630714416503906,10,10
1,14,19.294431924819946,10,10
2,14,20.08981490135193,10,10
3,14,24.6813805103302,10,10
0,15,24.826825857162476,10,10
1,15,24.705838203430176,10,10
2,15,25.583226442337036,10,10
3,15,31.545194625854492,10,10
0,16,28.783173322677612,10,10
1,16,29.007924795150757,10,10
2,16,30.04467010498047,10,10
3,16,35.61105465888977,10,10
0,17,43.365662574768066,10,10
1,17,43.151668071746826,10,10
2,17,34.52884006500244,10,10
3,17,41.37884712219238,10,10
0,18,47.53305411338806,10,10
1,18,47.76737141609192,10,10
2,18,37.49506449699402,10,10
3,18,45.407169818878174,10,10
0,19,54.72971177101135,10,10
1,19,54.56876564025879,10,10
2,19,43.85180330276489,10,10
3,19,52.08388662338257,10,10
0,20,55.40770602226257,10,10
1,20,56.69125032424927,10,10
2,20,44.52639102935791,10,10
3,20,52.708473682403564,10,10
0,21,60.22158980369568,10,10
1,21,60.26172995567322,10,10
2,21,60.89632034301758,10,10
3,21,58.46298313140869,10,10
0,22,63.03524589538574,10,10
1,22,63.32946443557739,10,10
2,22,64.03372740745544,10,10
3,22,60.30193567276001,10,10
0,23,79.01682019233704,10,10
1,23,78.21093916893005,10,10
2,23,80.14263939857483,10,10
3,23,61.0613808631897,10,10
0,24,103.08106637001038,10,10
1,24,103.24810814857483,10,10
2,24,82.67031693458557,10,10
3,24,80.25008249282837,10,10
0,25,108.06226181983948,10,10
1,25,106.86295795440674,10,10
2,25,85.19512724876404,10,10
3,25,85.34574174880981,10,10
0,26,119.00882649421692,10,10
1,26,117.63927221298218,10,10
2,26,93.44780397415161,10,10
3,26,95.3031690120697,10,10
0,27,128.13363194465637,10,10
1,27,127.30383801460266,10,10
2,27,100.88425207138062,10,10
3,27,104.17914581298828,10,10
0,28,132.73007822036743,10,10
